model,horizon_hours,seed,development_fit_seconds,final_fit_seconds,prediction_seconds,parameter_count,artifact_bytes,threshold_policy,threshold,windows,positive_windows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,brier_score,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,false_alert_episodes,evaluated_days,false_alert_episodes_per_day,held_out_event_detected,first_alert_lead_hours
tcn,3,17,35.523915348999935,12.88137314000005,0.017613296000035916,29185.0,126879,development_selected,0.08,2032,6,0.002952755905511811,0.0017291515203535356,0.5856059815597308,0.005018098058571914,0.0038190219541268866,0.4859328726554788,0.0,0.0,0.0,1969,57,6,0,54,42.333333333333336,1.2755905511811023,False,
tcn,3,42,29.542323013000214,9.275645637000025,0.017666130999941743,29185.0,126879,reference_0.5,0.5,2032,6,0.002952755905511811,0.0017278409342061651,0.5851621297178212,0.003784139519578807,0.003123556034071453,0.5,0.0,0.0,0.0,2026,0,6,0,0,42.333333333333336,0.0,False,
tcn,3,42,29.542323013000214,9.275645637000025,0.017666130999941743,29185.0,126879,development_selected,0.08,2032,6,0.002952755905511811,0.0017278409342061651,0.5851621297178212,0.003784139519578807,0.003123556034071453,0.4987660414610069,0.0,0.0,0.0,2021,5,6,0,5,42.333333333333336,0.11811023622047244,False,
tcn,3,89,43.945017131999975,18.114913738999803,0.01779408700008389,29185.0,126879,reference_0.5,0.5,2032,6,0.002952755905511811,0.0017512102862317887,0.5930765502704991,0.025995393221454444,0.004636197188593908,0.49950641658440276,0.0,0.0,0.0,2024,2,6,0,2,42.333333333333336,0.047244094488188976,False,
tcn,3,89,43.945017131999975,18.114913738999803,0.01779408700008389,29185.0,126879,development_selected,0.08,2032,6,0.002952755905511811,0.0017512102862317887,0.5930765502704991,0.025995393221454444,0.004636197188593908,0.4819842053307009,0.0,0.0,0.0,1953,73,6,0,53,42.333333333333336,1.2519685039370079,False,
tcn,6,17,19.643407576000072,2.5632687410000017,0.0173906810000517,29185.0,126879,reference_0.5,0.5,2032,12,0.005905511811023622,0.004847724993992166,0.8208814323160067,0.32083333333333336,0.006762453237218835,0.49975247524752475,0.0,0.0,0.0,2019,1,12,0,1,42.333333333333336,0.023622047244094488,False,
tcn,6,17,19.643407576000072,2.5632687410000017,0.0173906810000517,29185.0,126879,development_selected,0.87,2032,12,0.005905511811023622,0.004847724993992166,0.8208814323160067,0.32083333333333336,0.006762453237218835,0.49975247524752475,0.0,0.0,0.0,2019,1,12,0,1,42.333333333333336,0.023622047244094488,False,
tcn,6,42,18.89658392499996,1.6614159299999756,0.017482991999941078,29185.0,126879,reference_0.5,0.5,2032,12,0.005905511811023622,0.0034433911435339357,0.5830809003050798,0.12685643564356436,0.011415241111937084,0.5,0.0,0.0,0.0,2020,0,12,0,0,42.333333333333336,0.0,False,
tcn,6,42,18.89658392499996,1.6614159299999756,0.017482991999941078,29185.0,126879,development_selected,0.87,2032,12,0.005905511811023622,0.0034433911435339357,0.5830809003050798,0.12685643564356436,0.011415241111937084,0.5,0.0,0.0,0.0,2020,0,12,0,0,42.333333333333336,0.0,False,
tcn,6,89,28.659826017999876,8.479215361999877,0.01759977599999729,29185.0,126879,reference_0.5,0.5,2032,12,0.005905511811023622,0.0032376252009488717,0.5482378673606756,0.0177805280528053,0.014631262628939391,0.5,0.0,0.0,0.0,2020,0,12,0,0,42.333333333333336,0.0,False,
tcn,6,89,28.659826017999876,8.479215361999877,0.01759977599999729,29185.0,126879,development_selected,0.87,2032,12,0.005905511811023622,0.0032376252009488717,0.5482378673606756,0.0177805280528053,0.014631262628939391,0.5,0.0,0.0,0.0,2020,0,12,0,0,42.333333333333336,0.0,False,
tcn,12,17,18.322884365000164,1.7133065620000707,0.01762512200002675,29185.0,126879,reference_0.5,0.5,2032,24,0.011811023622047244,0.007667169704283066,0.6491537016292995,0.27016932270916333,0.08542684514501461,0.499003984063745,0.0,0.0,0.0,2004,4,24,0,2,42.333333333333336,0.047244094488188976,False,
tcn,12,17,18.322884365000164,1.7133065620000707,0.01762512200002675,29185.0,126879,development_selected,0.05,2032,24,0.011811023622047244,0.007667169704283066,0.6491537016292995,0.27016932270916333,0.08542684514501461,0.5,0.011811023622047244,1.0,0.023346303501945526,0,2008,0,24,63,42.333333333333336,1.4881889763779528,True,11.531944444444443
tcn,12,42,18.934002209000028,2.36987983899985,0.017326260000118054,29185.0,126879,reference_0.5,0.5,2032,24,0.011811023622047244,0.0069106849325998,0.5851046576267831,0.18110889774236386,0.03187440409846426,0.49975099601593626,0.0,0.0,0.0,2007,1,24,0,1,42.333333333333336,0.023622047244094488,False,
tcn,12,42,18.934002209000028,2.36987983899985,0.017326260000118054,29185.0,126879,development_selected,0.05,2032,24,0.011811023622047244,0.0069106849325998,0.5851046576267831,0.18110889774236386,0.03187440409846426,0.3421314741035857,0.007878151260504201,0.625,0.015560165975103735,119,1889,9,15,104,42.333333333333336,2.456692913385827,True,11.531944444444443
tcn,12,89,18.29346608099968,1.6326315899998463,0.017491594999910376,29185.0,126879,reference_0.5,0.5,2032,24,0.011811023622047244,0.0064458258554178985,0.5457465890920488,0.08843791500664008,0.038234462576590564,0.5,0.0,0.0,0.0,2008,0,24,0,0,42.333333333333336,0.0,False,
tcn,12,89,18.29346608099968,1.6326315899998463,0.017491594999910376,29185.0,126879,development_selected,0.05,2032,24,0.011811023622047244,0.0064458258554178985,0.5457465890920488,0.08843791500664008,0.038234462576590564,0.2632802124833997,0.005844845908607864,0.4583333333333333,0.011542497376705142,137,1871,13,11,118,42.333333333333336,2.7874015748031495,True,11.531944444444443
attention_tcn,1,17,29.916320785999915,7.616854065000098,0.018287289999989298,30274.0,132555,reference_0.5,0.5,2032,2,0.000984251968503937,0.0008209388870343583,0.834073909226908,0.11354679802955664,0.0009861365633333067,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
attention_tcn,1,17,29.916320785999915,7.616854065000098,0.018287289999989298,30274.0,132555,development_selected,0.06,2032,2,0.000984251968503937,0.0008209388870343583,0.834073909226908,0.11354679802955664,0.0009861365633333067,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
attention_tcn,1,42,31.953812570999844,10.278799621999951,0.017841125999893848,30274.0,132555,reference_0.5,0.5,2032,2,0.000984251968503937,0.0007403754843213457,0.7522214920704872,0.0029556650246305716,0.0009881356393051117,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
attention_tcn,1,42,31.953812570999844,10.278799621999951,0.017841125999893848,30274.0,132555,development_selected,0.06,2032,2,0.000984251968503937,0.0007403754843213457,0.7522214920704872,0.0029556650246305716,0.0009881356393051117,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
attention_tcn,1,89,27.145845066999755,6.275768375000098,0.01732665800000177,30274.0,132555,reference_0.5,0.5,2032,2,0.000984251968503937,0.0007400102271897145,0.7518503908247499,0.0024630541871921152,0.0012121857421175533,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
attention_tcn,1,89,27.145845066999755,6.275768375000098,0.01732665800000177,30274.0,132555,development_selected,0.06,2032,2,0.000984251968503937,0.0007400102271897145,0.7518503908247499,0.0024630541871921152,0.0012121857421175533,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
attention_tcn,3,17,33.68111767699975,10.766720295999676,0.017268051999963063,30274.0,132555,reference_0.5,0.5,2032,6,0.002952755905511811,0.0017402709575039246,0.5893717642746624,0.018180322474498207,0.0035830912446391337,0.5,0.0,0.0,0.0,2026,0,6,0,0,42.333333333333336,0.0,False,
