model,horizon_hours,seed,event,windows,positive_windows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,positive_score_median,negative_score_median,median_score_gap
attention_tcn,1,17,july_holdout,2032,2,0.000984251968503937,0.0008209388870343583,0.834073909226908,0.11354679802955664,0.0001927746488945,0.000725132151274,-0.0005323575023795
attention_tcn,1,42,july_holdout,2032,2,0.000984251968503937,0.0007403754843213457,0.7522214920704872,0.0029556650246305716,1.0949907105171906e-10,0.00012702285312115002,-0.00012702274362207897
attention_tcn,1,89,july_holdout,2032,2,0.000984251968503937,0.0007400102271897145,0.7518503908247499,0.0024630541871921152,4.371862178231822e-05,0.01018463773652905,-0.010140919114746731
tcn,1,17,july_holdout,2032,2,0.000984251968503937,0.0007431900464890139,0.7550810872328382,0.007142857142857173,3.881143129547127e-06,0.0008810695435385999,-0.0008771884004090528
tcn,1,42,july_holdout,2032,2,0.000984251968503937,0.0007414734223459994,0.7533369971035354,0.00443349753694583,3.985873427317517e-17,5.195140140301646e-08,-5.1951401363157725e-08
tcn,1,89,july_holdout,2032,2,0.000984251968503937,0.0007415958987203068,0.7534614330998317,0.004679802955665058,6.546330063512718e-18,8.50562535958943e-08,-8.505625358934797e-08
xgboost,1,17,july_holdout,2032,2,0.000984251968503937,0.0017497812773403325,1.777777777777778,0.5,0.2977185249328613,0.2977185249328613,0.0
xgboost,1,42,july_holdout,2032,2,0.000984251968503937,0.0011173184357541898,1.135195530726257,0.12142857142857144,0.1520420461893081,0.1528571248054504,-0.0008150786161423007
xgboost,1,89,july_holdout,2032,2,0.000984251968503937,0.0019455252918287938,1.9766536964980546,0.6379310344827587,0.3866800665855407,0.3866800665855407,0.0
attention_tcn,3,17,july_holdout,2032,6,0.002952755905511811,0.0017402709575039246,0.5893717642746624,0.018180322474498207,5.971242202917892e-07,0.002369743771851,-0.002369146647630708
attention_tcn,3,42,july_holdout,2032,6,0.002952755905511811,0.0017286028046481652,0.5854201498408453,0.0032082922013820236,1.3648062402449312e-09,0.00162611983250825,-0.0016261184677020097
attention_tcn,3,89,july_holdout,2032,6,0.002952755905511811,0.0017673954301702008,0.5985579190176413,0.0257486015136558,4.384573367133271e-05,0.016953719779849,-0.016909874046177668
tcn,3,17,july_holdout,2032,6,0.002952755905511811,0.0017291515203535356,0.5856059815597308,0.005018098058571914,1.6122153612130317e-09,0.0024474032688885502,-0.002447401656673189
tcn,3,42,july_holdout,2032,6,0.002952755905511811,0.0017278409342061651,0.5851621297178212,0.003784139519578807,2.2640061353440536e-10,0.00162484904285515,-0.0016248488164545365
tcn,3,89,july_holdout,2032,6,0.002952755905511811,0.0017512102862317887,0.5930765502704991,0.025995393221454444,1.2729428673221282e-14,3.507422297843732e-05,-3.507422296570789e-05
xgboost,3,17,july_holdout,2032,6,0.002952755905511811,0.002952755905511811,1.0,0.4358341559723593,0.4750656187534332,0.4750656187534332,0.0
xgboost,3,42,july_holdout,2032,6,0.002952755905511811,0.0029644268774703555,1.0039525691699605,0.4397828232971372,0.4289935231208801,0.4289935231208801,0.0
xgboost,3,89,july_holdout,2032,6,0.002952755905511811,0.002957121734844751,1.0014785608674224,0.4395360315893386,0.4514271020889282,0.4514271020889282,0.0
attention_tcn,6,17,july_holdout,2032,12,0.005905511811023622,0.0032174428884628337,0.5448203291130399,0.00478547854785479,0.00491176568903025,0.04163503833115095,-0.036723272642120705
attention_tcn,6,42,july_holdout,2032,12,0.005905511811023622,0.003221970964220148,0.5455870832746117,0.007838283828382846,0.030165793374180752,0.1008113697171211,-0.07064557634294034
attention_tcn,6,89,july_holdout,2032,12,0.005905511811023622,0.0032386475489255178,0.5484109849513877,0.012211221122112221,0.05533033981919285,0.14312120527029035,-0.08779086545109749
tcn,6,17,july_holdout,2032,12,0.005905511811023622,0.004847724993992166,0.8208814323160067,0.32083333333333336,0.00749248941428955,0.01414011279121035,-0.0066476233769208
tcn,6,42,july_holdout,2032,12,0.005905511811023622,0.0034433911435339357,0.5830809003050798,0.12685643564356436,0.021488850004971,0.053829921409487655,-0.032341071404516655
tcn,6,89,july_holdout,2032,12,0.005905511811023622,0.0032376252009488717,0.5482378673606756,0.0177805280528053,1.5236493709380738e-05,0.0369854569435119,-0.03697022044980252
xgboost,6,17,july_holdout,2032,12,0.005905511811023622,0.005645619617688908,0.9559915885953217,0.4412747524752475,0.4075762927532196,0.4075762927532196,0.0
xgboost,6,42,july_holdout,2032,12,0.005905511811023622,0.005905511811023622,1.0,0.43564356435643564,0.4750654995441437,0.4750654995441437,0.0
xgboost,6,89,july_holdout,2032,12,0.005905511811023622,0.005905511811023622,1.0,0.43787128712871287,0.4750642776489258,0.4750642776489258,0.0
attention_tcn,12,17,july_holdout,2032,24,0.011811023622047244,0.006257025989432438,0.5297615337719465,0.016226759628154036,0.1393984109163284,0.21749023348093025,-0.07809182256460184
attention_tcn,12,42,july_holdout,2032,24,0.011811023622047244,0.006342376392020705,0.5369878678577531,0.033200531208499307,0.0016029276303014999,0.00797176780179135,-0.00636884017148985
attention_tcn,12,89,july_holdout,2032,24,0.011811023622047244,0.0063179887506963316,0.534923047558956,0.02521165338645416,0.04644213989377015,0.29107716679573054,-0.24463502690196037
tcn,12,17,july_holdout,2032,24,0.011811023622047244,0.007667169704283066,0.6491537016292995,0.27016932270916333,0.23164010047912595,0.26643893122673035,-0.0347988307476044
tcn,12,42,july_holdout,2032,24,0.011811023622047244,0.0069106849325998,0.5851046576267831,0.18110889774236386,0.06485013663768766,0.1276510953903198,-0.06280095875263214
tcn,12,89,july_holdout,2032,24,0.011811023622047244,0.0064458258554178985,0.5457465890920488,0.08843791500664008,0.02925637923181055,0.13230579346418375,-0.10304941423237321
xgboost,12,17,july_holdout,2032,24,0.011811023622047244,0.011450528109389551,0.969478046594982,0.45459827357237714,0.4750763773918152,0.4750763773918152,0.0
xgboost,12,42,july_holdout,2032,24,0.011811023622047244,0.014290923968312105,1.2099648959837581,0.5318102589641435,0.4427303373813629,0.4427303373813629,0.0
xgboost,12,89,july_holdout,2032,24,0.011811023622047244,0.011117638436556688,0.9412933876284663,0.3806440903054448,0.4750829339027405,0.4750829339027405,0.0
